architecture,candidate_chain_first,example_id,heads,layers,model_seed,position_mode,positive,required_path,split,target_margin,template_id,top1_correct,total_depth,tree_seed,width
L2_W64_H4,1,validation:d1:t0:paligned:tree307:i10006,4,2,11,aligned,0,1,validation,-0.012151718139648438,0,0,3,307,64
L2_W64_H4,1,validation:d1:t0:paligned:tree307:i10007,4,2,11,aligned,1,1,validation,-0.11307334899902344,0,0,3,307,64
L2_W64_H4,0,validation:d1:t0:paligned:tree307:i10008,4,2,11,aligned,0,1,validation,0.10959053039550781,0,1,3,307,64
L2_W64_H4,0,validation:d1:t0:paligned:tree307:i10009,4,2,11,aligned,1,1,validation,-0.22500991821289062,0,0,3,307,64
L2_W64_H4,1,validation:d1:t0:paligned:tree307:i10010,4,2,11,aligned,0,1,validation,0.1866436004638672,0,1,3,307,64
L2_W64_H4,1,validation:d1:t0:paligned:tree307:i10011,4,2,11,aligned,1,1,validation,-0.5406589508056641,0,0,3,307,64
L2_W64_H4,0,validation:d1:t0:paligned:tree307:i10012,4,2,11,aligned,0,1,validation,0.10338401794433594,0,1,3,307,64
L2_W64_H4,0,validation:d1:t0:paligned:tree307:i10013,4,2,11,aligned,1,1,validation,-0.10544204711914062,0,0,3,307,64
L2_W64_H4,1,validation:d1:t0:paligned:tree307:i10014,4,2,11,aligned,0,1,validation,0.03318595886230469,0,1,3,307,64
L2_W64_H4,1,validation:d1:t0:paligned:tree307:i10015,4,2,11,aligned,1,1,validation,-0.057170867919921875,0,0,3,307,64
L2_W64_H4,1,validation:d1:t0:prandomized:tree101:i10003,4,2,11,randomized,1,1,validation,0.19865989685058594,0,1,3,101,64
L2_W64_H4,0,validation:d1:t0:prandomized:tree211:i10000,4,2,11,randomized,0,1,validation,0.11008262634277344,0,1,3,211,64
L2_W64_H4,0,validation:d1:t0:prandomized:tree211:i10004,4,2,11,randomized,0,1,validation,0.15497589111328125,0,1,3,211,64
L2_W64_H4,1,validation:d1:t0:prandomized:tree211:i10010,4,2,11,randomized,0,1,validation,0.07646942138671875,0,1,3,211,64
L2_W64_H4,0,validation:d1:t0:prandomized:tree307:i10000,4,2,11,randomized,0,1,validation,0.3836383819580078,0,1,3,307,64
L2_W64_H4,1,validation:d1:t0:prandomized:tree307:i10002,4,2,11,randomized,0,1,validation,0.11777496337890625,0,1,3,307,64
L2_W64_H4,0,validation:d1:t1:paligned:tree101:i10000,4,2,11,aligned,0,1,validation,0.28548431396484375,1,1,3,101,64
L2_W64_H4,0,validation:d1:t1:paligned:tree101:i10001,4,2,11,aligned,1,1,validation,-0.057064056396484375,1,0,3,101,64
L2_W64_H4,1,validation:d1:t1:paligned:tree101:i10002,4,2,11,aligned,0,1,validation,0.11354827880859375,1,1,3,101,64
L2_W64_H4,1,validation:d1:t1:paligned:tree101:i10003,4,2,11,aligned,1,1,validation,0.1935577392578125,1,1,3,101,64
L2_W64_H4,0,validation:d1:t1:paligned:tree101:i10004,4,2,11,aligned,0,1,validation,0.10947418212890625,1,1,3,101,64
L2_W64_H4,0,validation:d1:t1:paligned:tree101:i10005,4,2,11,aligned,1,1,validation,-0.03926658630371094,1,0,3,101,64
L2_W64_H4,1,validation:d1:t1:paligned:tree101:i10006,4,2,11,aligned,0,1,validation,0.2376880645751953,1,1,3,101,64
L2_W64_H4,1,validation:d1:t1:paligned:tree101:i10007,4,2,11,aligned,1,1,validation,-0.16582107543945312,1,0,3,101,64
L2_W64_H4,0,validation:d1:t1:paligned:tree101:i10008,4,2,11,aligned,0,1,validation,0.43646240234375,1,1,3,101,64
L2_W64_H4,0,validation:d1:t1:paligned:tree101:i10009,4,2,11,aligned,1,1,validation,-0.23943710327148438,1,0,3,101,64
L2_W64_H4,1,validation:d1:t1:paligned:tree101:i10010,4,2,11,aligned,0,1,validation,0.10953521728515625,1,1,3,101,64
L2_W64_H4,1,validation:d1:t1:paligned:tree101:i10011,4,2,11,aligned,1,1,validation,-0.23540306091308594,1,0,3,101,64
L2_W64_H4,0,validation:d1:t1:paligned:tree101:i10012,4,2,11,aligned,0,1,validation,0.0057277679443359375,1,1,3,101,64
L2_W64_H4,0,validation:d1:t1:paligned:tree101:i10013,4,2,11,aligned,1,1,validation,0.06219291687011719,1,1,3,101,64
L2_W64_H4,1,validation:d1:t1:paligned:tree101:i10014,4,2,11,aligned,0,1,validation,0.2781028747558594,1,1,3,101,64
L2_W64_H4,1,validation:d1:t1:paligned:tree101:i10015,4,2,11,aligned,1,1,validation,-0.19542884826660156,1,0,3,101,64
L2_W64_H4,0,validation:d1:t1:paligned:tree211:i10000,4,2,11,aligned,0,1,validation,0.15484619140625,1,1,3,211,64
L2_W64_H4,0,validation:d1:t1:paligned:tree211:i10001,4,2,11,aligned,1,1,validation,-0.48094749450683594,1,0,3,211,64
L2_W64_H4,1,validation:d1:t1:paligned:tree211:i10002,4,2,11,aligned,0,1,validation,-0.10234260559082031,1,0,3,211,64
L2_W64_H4,1,validation:d1:t1:paligned:tree211:i10003,4,2,11,aligned,1,1,validation,-0.010406494140625,1,0,3,211,64
L2_W64_H4,0,validation:d1:t1:paligned:tree211:i10004,4,2,11,aligned,0,1,validation,0.16493606567382812,1,1,3,211,64
L2_W64_H4,0,validation:d1:t1:paligned:tree211:i10005,4,2,11,aligned,1,1,validation,-0.08848953247070312,1,0,3,211,64
L2_W64_H4,1,validation:d1:t1:paligned:tree211:i10006,4,2,11,aligned,0,1,validation,0.15820884704589844,1,1,3,211,64
L2_W64_H4,1,validation:d1:t1:paligned:tree211:i10007,4,2,11,aligned,1,1,validation,-0.017061233520507812,1,0,3,211,64
L2_W64_H4,0,validation:d1:t1:paligned:tree211:i10008,4,2,11,aligned,0,1,validation,0.09377098083496094,1,1,3,211,64
L2_W64_H4,0,validation:d1:t1:paligned:tree211:i10009,4,2,11,aligned,1,1,validation,-0.1978626251220703,1,0,3,211,64
L2_W64_H4,1,validation:d1:t1:paligned:tree211:i10010,4,2,11,aligned,0,1,validation,0.077484130859375,1,1,3,211,64
L2_W64_H4,1,validation:d1:t1:paligned:tree211:i10011,4,2,11,aligned,1,1,validation,-0.05601310729980469,1,0,3,211,64
L2_W64_H4,0,validation:d1:t1:paligned:tree211:i10012,4,2,11,aligned,0,1,validation,-0.0699920654296875,1,0,3,211,64
L2_W64_H4,0,validation:d1:t1:paligned:tree211:i10013,4,2,11,aligned,1,1,validation,-0.10821342468261719,1,0,3,211,64
L2_W64_H4,1,validation:d1:t1:paligned:tree211:i10014,4,2,11,aligned,0,1,validation,-0.015733718872070312,1,0,3,211,64
L2_W64_H4,1,validation:d1:t1:paligned:tree211:i10015,4,2,11,aligned,1,1,validation,-0.2521190643310547,1,0,3,211,64
L2_W64_H4,0,validation:d1:t1:paligned:tree307:i10000,4,2,11,aligned,0,1,validation,0.38851165771484375,1,1,3,307,64
L2_W64_H4,0,validation:d1:t1:paligned:tree307:i10001,4,2,11,aligned,1,1,validation,-0.1732769012451172,1,0,3,307,64
L2_W64_H4,1,validation:d1:t1:paligned:tree307:i10002,4,2,11,aligned,0,1,validation,0.10879898071289062,1,1,3,307,64
L2_W64_H4,1,validation:d1:t1:paligned:tree307:i10003,4,2,11,aligned,1,1,validation,-0.016935348510742188,1,0,3,307,64
L2_W64_H4,0,validation:d1:t1:paligned:tree307:i10004,4,2,11,aligned,0,1,validation,0.015138626098632812,1,1,3,307,64
L2_W64_H4,0,validation:d1:t1:paligned:tree307:i10005,4,2,11,aligned,1,1,validation,-0.12848663330078125,1,0,3,307,64
L2_W64_H4,1,validation:d1:t1:paligned:tree307:i10006,4,2,11,aligned,0,1,validation,-0.018926620483398438,1,0,3,307,64
L2_W64_H4,1,validation:d1:t1:paligned:tree307:i10007,4,2,11,aligned,1,1,validation,-0.1399669647216797,1,0,3,307,64
L2_W64_H4,0,validation:d1:t1:paligned:tree307:i10008,4,2,11,aligned,0,1,validation,0.08171272277832031,1,1,3,307,64
L2_W64_H4,0,validation:d1:t1:paligned:tree307:i10009,4,2,11,aligned,1,1,validation,-0.2261962890625,1,0,3,307,64
L2_W64_H4,1,validation:d1:t1:paligned:tree307:i10010,4,2,11,aligned,0,1,validation,0.1598529815673828,1,1,3,307,64
L2_W64_H4,1,validation:d1:t1:paligned:tree307:i10011,4,2,11,aligned,1,1,validation,-0.4035758972167969,1,0,3,307,64
L2_W64_H4,0,validation:d1:t1:paligned:tree307:i10012,4,2,11,aligned,0,1,validation,0.043224334716796875,1,1,3,307,64
L2_W64_H4,0,validation:d1:t1:paligned:tree307:i10013,4,2,11,aligned,1,1,validation,-0.1097412109375,1,0,3,307,64
L2_W64_H4,1,validation:d1:t1:paligned:tree307:i10014,4,2,11,aligned,0,1,validation,0.0665283203125,1,1,3,307,64
L2_W64_H4,1,validation:d1:t1:paligned:tree307:i10015,4,2,11,aligned,1,1,validation,-0.10940742492675781,1,0,3,307,64
L2_W64_H4,1,validation:d1:t1:prandomized:tree101:i10003,4,2,11,randomized,1,1,validation,0.1935577392578125,1,1,3,101,64
L2_W64_H4,0,validation:d1:t1:prandomized:tree211:i10000,4,2,11,randomized,0,1,validation,0.15484619140625,1,1,3,211,64
L2_W64_H4,0,validation:d1:t1:prandomized:tree211:i10004,4,2,11,randomized,0,1,validation,0.16493606567382812,1,1,3,211,64
L2_W64_H4,1,validation:d1:t1:prandomized:tree211:i10010,4,2,11,randomized,0,1,validation,0.077484130859375,1,1,3,211,64
L2_W64_H4,0,validation:d1:t1:prandomized:tree307:i10000,4,2,11,randomized,0,1,validation,0.38851165771484375,1,1,3,307,64
L2_W64_H4,1,validation:d1:t1:prandomized:tree307:i10002,4,2,11,randomized,0,1,validation,0.10879898071289062,1,1,3,307,64
L2_W64_H4,0,validation:d1:t2:paligned:tree101:i10000,4,2,11,aligned,0,1,validation,0.25801658630371094,2,1,3,101,64
L2_W64_H4,0,validation:d1:t2:paligned:tree101:i10001,4,2,11,aligned,1,1,validation,-0.07340049743652344,2,0,3,101,64
L2_W64_H4,1,validation:d1:t2:paligned:tree101:i10002,4,2,11,aligned,0,1,validation,0.07188034057617188,2,1,3,101,64
L2_W64_H4,1,validation:d1:t2:paligned:tree101:i10003,4,2,11,aligned,1,1,validation,0.19191360473632812,2,1,3,101,64
L2_W64_H4,0,validation:d1:t2:paligned:tree101:i10004,4,2,11,aligned,0,1,validation,0.08818626403808594,2,1,3,101,64
L2_W64_H4,0,validation:d1:t2:paligned:tree101:i10005,4,2,11,aligned,1,1,validation,-0.10071945190429688,2,0,3,101,64
L2_W64_H4,1,validation:d1:t2:paligned:tree101:i10006,4,2,11,aligned,0,1,validation,0.24318695068359375,2,1,3,101,64
L2_W64_H4,1,validation:d1:t2:paligned:tree101:i10007,4,2,11,aligned,1,1,validation,-0.16629791259765625,2,0,3,101,64
L2_W64_H4,0,validation:d1:t2:paligned:tree101:i10008,4,2,11,aligned,0,1,validation,0.42903709411621094,2,1,3,101,64
L2_W64_H4,0,validation:d1:t2:paligned:tree101:i10009,4,2,11,aligned,1,1,validation,-0.3077049255371094,2,0,3,101,64
L2_W64_H4,1,validation:d1:t2:paligned:tree101:i10010,4,2,11,aligned,0,1,validation,0.05249977111816406,2,1,3,101,64
L2_W64_H4,1,validation:d1:t2:paligned:tree101:i10011,4,2,11,aligned,1,1,validation,-0.23331642150878906,2,0,3,101,64
L2_W64_H4,0,validation:d1:t2:paligned:tree101:i10012,4,2,11,aligned,0,1,validation,0.011510848999023438,2,1,3,101,64
L2_W64_H4,0,validation:d1:t2:paligned:tree101:i10013,4,2,11,aligned,1,1,validation,0.05477714538574219,2,1,3,101,64
L2_W64_H4,1,validation:d1:t2:paligned:tree101:i10014,4,2,11,aligned,0,1,validation,0.3117218017578125,2,1,3,101,64
L2_W64_H4,1,validation:d1:t2:paligned:tree101:i10015,4,2,11,aligned,1,1,validation,-0.1381969451904297,2,0,3,101,64
L2_W64_H4,0,validation:d1:t2:paligned:tree211:i10000,4,2,11,aligned,0,1,validation,0.12465286254882812,2,1,3,211,64
L2_W64_H4,0,validation:d1:t2:paligned:tree211:i10001,4,2,11,aligned,1,1,validation,-0.46426963806152344,2,0,3,211,64
L2_W64_H4,1,validation:d1:t2:paligned:tree211:i10002,4,2,11,aligned,0,1,validation,-0.10030746459960938,2,0,3,211,64
L2_W64_H4,1,validation:d1:t2:paligned:tree211:i10003,4,2,11,aligned,1,1,validation,-0.07111549377441406,2,0,3,211,64
L2_W64_H4,0,validation:d1:t2:paligned:tree211:i10004,4,2,11,aligned,0,1,validation,0.1620197296142578,2,1,3,211,64
L2_W64_H4,0,validation:d1:t2:paligned:tree211:i10005,4,2,11,aligned,1,1,validation,-0.10063743591308594,2,0,3,211,64
L2_W64_H4,1,validation:d1:t2:paligned:tree211:i10006,4,2,11,aligned,0,1,validation,0.1681060791015625,2,1,3,211,64
L2_W64_H4,1,validation:d1:t2:paligned:tree211:i10007,4,2,11,aligned,1,1,validation,-0.06757354736328125,2,0,3,211,64
L2_W64_H4,0,validation:d1:t2:paligned:tree211:i10008,4,2,11,aligned,0,1,validation,0.08499526977539062,2,1,3,211,64
L2_W64_H4,0,validation:d1:t2:paligned:tree211:i10009,4,2,11,aligned,1,1,validation,-0.19545555114746094,2,0,3,211,64
L2_W64_H4,1,validation:d1:t2:paligned:tree211:i10010,4,2,11,aligned,0,1,validation,0.06973075866699219,2,1,3,211,64
L2_W64_H4,1,validation:d1:t2:paligned:tree211:i10011,4,2,11,aligned,1,1,validation,-0.05166053771972656,2,0,3,211,64
L2_W64_H4,0,validation:d1:t2:paligned:tree211:i10012,4,2,11,aligned,0,1,validation,-0.06828117370605469,2,0,3,211,64
L2_W64_H4,0,validation:d1:t2:paligned:tree211:i10013,4,2,11,aligned,1,1,validation,-0.10696220397949219,2,0,3,211,64
L2_W64_H4,1,validation:d1:t2:paligned:tree211:i10014,4,2,11,aligned,0,1,validation,0.002307891845703125,2,1,3,211,64
L2_W64_H4,1,validation:d1:t2:paligned:tree211:i10015,4,2,11,aligned,1,1,validation,-0.26096534729003906,2,0,3,211,64
L2_W64_H4,0,validation:d1:t2:paligned:tree307:i10000,4,2,11,aligned,0,1,validation,0.42821502685546875,2,1,3,307,64
L2_W64_H4,0,validation:d1:t2:paligned:tree307:i10001,4,2,11,aligned,1,1,validation,-0.22849464416503906,2,0,3,307,64
L2_W64_H4,1,validation:d1:t2:paligned:tree307:i10002,4,2,11,aligned,0,1,validation,0.09771728515625,2,1,3,307,64
L2_W64_H4,1,validation:d1:t2:paligned:tree307:i10003,4,2,11,aligned,1,1,validation,0.006870269775390625,2,1,3,307,64
L2_W64_H4,0,validation:d1:t2:paligned:tree307:i10004,4,2,11,aligned,0,1,validation,0.015401840209960938,2,1,3,307,64
L2_W64_H4,0,validation:d1:t2:paligned:tree307:i10005,4,2,11,aligned,1,1,validation,-0.18400001525878906,2,0,3,307,64
L2_W64_H4,1,validation:d1:t2:paligned:tree307:i10006,4,2,11,aligned,0,1,validation,-0.0053253173828125,2,0,3,307,64
L2_W64_H4,1,validation:d1:t2:paligned:tree307:i10007,4,2,11,aligned,1,1,validation,-0.07464408874511719,2,0,3,307,64
L2_W64_H4,0,validation:d1:t2:paligned:tree307:i10008,4,2,11,aligned,0,1,validation,0.0795745849609375,2,1,3,307,64
L2_W64_H4,0,validation:d1:t2:paligned:tree307:i10009,4,2,11,aligned,1,1,validation,-0.22474288940429688,2,0,3,307,64
L2_W64_H4,1,validation:d1:t2:paligned:tree307:i10010,4,2,11,aligned,0,1,validation,0.20070648193359375,2,1,3,307,64
L2_W64_H4,1,validation:d1:t2:paligned:tree307:i10011,4,2,11,aligned,1,1,validation,-0.49388885498046875,2,0,3,307,64
L2_W64_H4,0,validation:d1:t2:paligned:tree307:i10012,4,2,11,aligned,0,1,validation,0.09934616088867188,2,1,3,307,64
L2_W64_H4,0,validation:d1:t2:paligned:tree307:i10013,4,2,11,aligned,1,1,validation,-0.11937522888183594,2,0,3,307,64
L2_W64_H4,1,validation:d1:t2:paligned:tree307:i10014,4,2,11,aligned,0,1,validation,0.027248382568359375,2,1,3,307,64
L2_W64_H4,1,validation:d1:t2:paligned:tree307:i10015,4,2,11,aligned,1,1,validation,-0.05784416198730469,2,0,3,307,64
L2_W64_H4,1,validation:d1:t2:prandomized:tree101:i10006,4,2,11,randomized,0,1,validation,0.24318695068359375,2,1,3,101,64
L2_W64_H4,0,validation:d1:t2:prandomized:tree211:i10000,4,2,11,randomized,0,1,validation,0.12465286254882812,2,1,3,211,64
L2_W64_H4,1,validation:d1:t2:prandomized:tree307:i10002,4,2,11,randomized,0,1,validation,0.09771728515625,2,1,3,307,64
L2_W64_H4,0,validation:d1:t2:prandomized:tree307:i10009,4,2,11,randomized,1,1,validation,-0.22474098205566406,2,0,3,307,64
L2_W64_H4,0,validation:d1:t3:paligned:tree101:i10000,4,2,11,aligned,0,1,validation,0.2804374694824219,3,1,3,101,64
L2_W64_H4,0,validation:d1:t3:paligned:tree101:i10001,4,2,11,aligned,1,1,validation,-0.06031227111816406,3,0,3,101,64
L2_W64_H4,1,validation:d1:t3:paligned:tree101:i10002,4,2,11,aligned,0,1,validation,0.11952400207519531,3,1,3,101,64
L2_W64_H4,1,validation:d1:t3:paligned:tree101:i10003,4,2,11,aligned,1,1,validation,0.20222091674804688,3,1,3,101,64
L2_W64_H4,0,validation:d1:t3:paligned:tree101:i10004,4,2,11,aligned,0,1,validation,0.09566116333007812,3,1,3,101,64
L2_W64_H4,0,validation:d1:t3:paligned:tree101:i10005,4,2,11,aligned,1,1,validation,-0.04055976867675781,3,0,3,101,64
L2_W64_H4,1,validation:d1:t3:paligned:tree101:i10006,4,2,11,aligned,0,1,validation,0.24579429626464844,3,1,3,101,64
L2_W64_H4,1,validation:d1:t3:paligned:tree101:i10007,4,2,11,aligned,1,1,validation,-0.1505279541015625,3,0,3,101,64
L2_W64_H4,0,validation:d1:t3:paligned:tree101:i10008,4,2,11,aligned,0,1,validation,0.4151020050048828,3,1,3,101,64
L2_W64_H4,0,validation:d1:t3:paligned:tree101:i10009,4,2,11,aligned,1,1,validation,-0.2568359375,3,0,3,101,64
L2_W64_H4,1,validation:d1:t3:paligned:tree101:i10010,4,2,11,aligned,0,1,validation,0.09755706787109375,3,1,3,101,64
L2_W64_H4,1,validation:d1:t3:paligned:tree101:i10011,4,2,11,aligned,1,1,validation,-0.2645244598388672,3,0,3,101,64
L2_W64_H4,0,validation:d1:t3:paligned:tree101:i10012,4,2,11,aligned,0,1,validation,0.0042057037353515625,3,1,3,101,64
L2_W64_H4,0,validation:d1:t3:paligned:tree101:i10013,4,2,11,aligned,1,1,validation,0.06281661987304688,3,1,3,101,64
L2_W64_H4,1,validation:d1:t3:paligned:tree101:i10014,4,2,11,aligned,0,1,validation,0.27410316467285156,3,1,3,101,64
L2_W64_H4,1,validation:d1:t3:paligned:tree101:i10015,4,2,11,aligned,1,1,validation,-0.18066787719726562,3,0,3,101,64
L2_W64_H4,0,validation:d1:t3:paligned:tree211:i10000,4,2,11,aligned,0,1,validation,0.1694507598876953,3,1,3,211,64
L2_W64_H4,0,validation:d1:t3:paligned:tree211:i10001,4,2,11,aligned,1,1,validation,-0.4825916290283203,3,0,3,211,64
L2_W64_H4,1,validation:d1:t3:paligned:tree211:i10002,4,2,11,aligned,0,1,validation,-0.09927558898925781,3,0,3,211,64
L2_W64_H4,1,validation:d1:t3:paligned:tree211:i10003,4,2,11,aligned,1,1,validation,-0.008636474609375,3,0,3,211,64
L2_W64_H4,0,validation:d1:t3:paligned:tree211:i10004,4,2,11,aligned,0,1,validation,0.1580791473388672,3,1,3,211,64
L2_W64_H4,0,validation:d1:t3:paligned:tree211:i10005,4,2,11,aligned,1,1,validation,-0.08501052856445312,3,0,3,211,64
L2_W64_H4,1,validation:d1:t3:paligned:tree211:i10006,4,2,11,aligned,0,1,validation,0.14911651611328125,3,1,3,211,64
L2_W64_H4,1,validation:d1:t3:paligned:tree211:i10007,4,2,11,aligned,1,1,validation,-0.014373779296875,3,0,3,211,64
L2_W64_H4,0,validation:d1:t3:paligned:tree211:i10008,4,2,11,aligned,0,1,validation,0.10110092163085938,3,1,3,211,64
L2_W64_H4,0,validation:d1:t3:paligned:tree211:i10009,4,2,11,aligned,1,1,validation,-0.17283248901367188,3,0,3,211,64
L2_W64_H4,1,validation:d1:t3:paligned:tree211:i10010,4,2,11,aligned,0,1,validation,0.0692596435546875,3,1,3,211,64
L2_W64_H4,1,validation:d1:t3:paligned:tree211:i10011,4,2,11,aligned,1,1,validation,-0.05283355712890625,3,0,3,211,64
L2_W64_H4,0,validation:d1:t3:paligned:tree211:i10012,4,2,11,aligned,0,1,validation,-0.07103538513183594,3,0,3,211,64
L2_W64_H4,0,validation:d1:t3:paligned:tree211:i10013,4,2,11,aligned,1,1,validation,-0.103912353515625,3,0,3,211,64
L2_W64_H4,1,validation:d1:t3:paligned:tree211:i10014,4,2,11,aligned,0,1,validation,-0.019378662109375,3,0,3,211,64
L2_W64_H4,1,validation:d1:t3:paligned:tree211:i10015,4,2,11,aligned,1,1,validation,-0.268798828125,3,0,3,211,64
L2_W64_H4,0,validation:d1:t3:paligned:tree307:i10000,4,2,11,aligned,0,1,validation,0.41954803466796875,3,1,3,307,64
L2_W64_H4,0,validation:d1:t3:paligned:tree307:i10001,4,2,11,aligned,1,1,validation,-0.1785888671875,3,0,3,307,64
L2_W64_H4,1,validation:d1:t3:paligned:tree307:i10002,4,2,11,aligned,0,1,validation,0.10597610473632812,3,1,3,307,64
L2_W64_H4,1,validation:d1:t3:paligned:tree307:i10003,4,2,11,aligned,1,1,validation,-0.011415481567382812,3,0,3,307,64
L2_W64_H4,0,validation:d1:t3:paligned:tree307:i10004,4,2,11,aligned,0,1,validation,0.0058956146240234375,3,1,3,307,64
L2_W64_H4,0,validation:d1:t3:paligned:tree307:i10005,4,2,11,aligned,1,1,validation,-0.13048362731933594,3,0,3,307,64
L2_W64_H4,1,validation:d1:t3:paligned:tree307:i10006,4,2,11,aligned,0,1,validation,-0.0263824462890625,3,0,3,307,64
L2_W64_H4,1,validation:d1:t3:paligned:tree307:i10007,4,2,11,aligned,1,1,validation,-0.1376476287841797,3,0,3,307,64
L2_W64_H4,0,validation:d1:t3:paligned:tree307:i10008,4,2,11,aligned,0,1,validation,0.09777259826660156,3,1,3,307,64
L2_W64_H4,0,validation:d1:t3:paligned:tree307:i10009,4,2,11,aligned,1,1,validation,-0.22493743896484375,3,0,3,307,64
