architecture_depth,last_newly_recruited_layer,layer,long_length,model_seed,new_head_count,regime,short_length,top2_overlap
8,,1,4,11,0,redundant,2,1.0
8,1,1,4,11,2,redundant,2,0.0
8,1,1,4,11,1,supportive,2,0.5
8,,1,4,11,0,supportive,2,1.0
8,1,1,4,11,1,supportive,2,0.5
8,1,1,4,11,1,supportive,2,0.5
8,,1,4,11,0,supportive,2,1.0
8,,1,4,11,0,supportive,2,1.0
8,1,1,4,11,1,supportive,2,0.5
8,1,1,4,11,1,supportive,2,0.5
8,1,1,4,11,2,supportive,2,0.0
8,1,1,4,11,2,supportive,2,0.0
8,1,1,4,11,1,supportive,2,0.5
8,,1,4,11,0,supportive,2,1.0
8,1,1,4,11,1,supportive,2,0.5
8,1,1,4,11,1,supportive,2,0.5
8,1,1,4,11,1,supportive,2,0.5
8,1,1,4,11,1,supportive,2,0.5
8,,1,4,11,0,supportive,2,1.0
8,,1,4,11,0,supportive,2,1.0
8,1,1,4,11,1,supportive,2,0.5
8,1,1,4,11,2,supportive,2,0.0
8,,1,4,11,0,supportive,2,1.0
8,1,1,4,11,1,supportive,2,0.5
8,,1,4,11,0,supportive,2,1.0
